"year","numflights","totaldelay","avgdelay","numdelay15"
"1988",694757,3917608,6,74675
"1989",723252,5066846,5,92745
"1990",712060,4688295,-1,83587
"1991",725191,3389403,20,61608
"1992",782371,4069980,0,73366
"1993",723074,4258762,1,77941
"1994",660167,3797187,8,72797
"1995",688471,5090204,-3,94180
"1996",655539,6387015,-6,112231
"1997",663954,4779906,-2,88555
"1998",653919,4760992,3,85678
"1999",692653,6532386,-1,112498
"2000",742265,7865606,-4,132111
"2001",716985,6181171,23,114531
"2002",277869,1269651,-4,32076
"2003",752241,3459811,-1,93380
"2004",698548,6196410,17,120685
"2005",673569,6307716,5,122475
"2006",643597,6776914,18,126636
"2007",633857,9066828,5,155313
"2008",512724,6824544,0,121319
