date,numflights,totaldelay,avgdelay,numdelay15
5/1/1994,1998,1499,-1,45
5/2/1994,2033,25362,2,342
5/3/1994,2015,3681,-3,124
5/4/1994,2056,-64,-1,38
5/5/1994,2034,2965,-7,77
5/6/1994,2035,1723,0,62
5/7/1994,1887,502,-2,54
5/8/1994,1989,49,-4,37
5/9/1994,2049,23917,20,546
5/10/1994,2021,7816,0,296
5/11/1994,2009,3489,-3,100
5/12/1994,2022,4020,-2,81
5/13/1994,1982,5326,1,133
5/14/1994,1884,5236,28,126
5/15/1994,1953,1284,-3,53
5/16/1994,2006,2420,8,74
5/17/1994,2005,1048,-2,53
5/18/1994,2025,770,-5,51
5/19/1994,1980,1423,-3,50
5/20/1994,2043,835,0,48
5/21/1994,1904,55,-5,39
5/22/1994,1965,929,-2,38
5/23/1994,2043,-55,41,39
5/24/1994,2036,-124,1,47
5/25/1994,2036,10992,1,210
5/26/1994,2016,17817,0,391
5/27/1994,2025,1555,-6,41
5/28/1994,1771,-518,16,22
5/29/1994,1905,8390,33,304
5/30/1994,1950,-79,1,41
5/31/1994,2030,-251,-2,25
3/1/1989,2018,16488,0,345
3/2/1989,1960,32967,-2,651
3/3/1989,1997,44121,9,748
3/4/1989,2017,40651,0,623
3/5/1989,1983,39557,62,695
3/6/1989,2016,33890,2,636
3/7/1989,1995,19828,-1,361
3/8/1989,2010,10797,5,216
3/9/1989,2052,13335,0,286
3/10/1989,2037,12598,2,254
3/11/1989,2012,10030,0,227
3/12/1989,1989,9992,-1,234
3/13/1989,2007,6833,-1,139
3/14/1989,2019,18500,40,313
3/15/1989,2041,10682,-2,218
3/16/1989,2017,10266,-1,211
3/17/1989,2033,34632,0,468
3/18/1989,1995,32918,117,574
3/19/1989,2012,14918,27,368
3/20/1989,2016,19345,5,420
3/21/1989,2061,44597,31,981
3/22/1989,2059,6092,-1,115
3/23/1989,2046,11020,2,242
3/24/1989,2037,12195,30,268
3/25/1989,2006,9344,0,197
3/26/1989,2029,11073,9,267
3/27/1989,2033,10742,0,195
3/28/1989,1980,31534,1,680
3/29/1989,2024,11166,0,245
3/30/1989,1998,15158,-1,335
3/31/1989,2013,16313,0,297
6/1/2003,1963,8444,-7,231
6/2/2003,2114,5008,15,208
6/3/2003,2109,-583,-6,138
6/4/2003,2110,849,-7,167
6/5/2003,2114,10760,-5,329
6/6/2003,2116,1813,-5,162
6/7/2003,1703,-83,-3,104
6/8/2003,1962,13744,-8,349
6/9/2003,2113,6101,1,205
6/10/2003,2109,6981,-4,267
6/11/2003,2109,5664,-1,198
6/12/2003,2111,47027,13,548
6/13/2003,2095,42740,-2,796
6/14/2003,1857,7493,-5,218
6/15/2003,2089,10069,-5,272
6/16/2003,2153,18801,-5,385
6/17/2003,2153,2915,-1,172
6/18/2003,2151,15370,-4,334
6/19/2003,2154,18014,1,366
6/20/2003,2154,15184,-9,331
6/21/2003,1874,13239,-2,273
6/22/2003,2088,17661,-3,344
6/23/2003,2154,6987,39,240
6/24/2003,2153,6384,3,211
6/25/2003,2152,18249,-2,380
6/26/2003,2151,16156,-4,357
6/27/2003,2154,10781,-1,270
6/28/2003,1874,16074,-4,313
6/29/2003,2090,9619,0,257
6/30/2003,2149,12642,-3,350
10/1/2000,1998,7396,-4,184
10/2/2000,2081,7389,-5,216
10/3/2000,2080,8274,-6,208
10/4/2000,2081,12901,-2,267
10/5/2000,2082,15021,2,312
10/6/2000,2082,23375,-11,454
10/7/2000,1890,5044,-5,148
10/8/2000,2008,11762,-2,266
10/9/2000,2081,9057,-4,245
10/10/2000,2081,5971,0,167
10/11/2000,2078,6689,-3,194
10/12/2000,2082,10648,-2,242
10/13/2000,2082,9950,-5,205
10/14/2000,1889,2955,-1,117
10/15/2000,2006,32353,40,354
10/16/2000,2082,19179,-5,379
10/17/2000,2081,6280,-1,175
10/18/2000,2081,11626,12,284
10/19/2000,2083,22716,0,315
10/20/2000,2085,23371,-4,383
10/21/2000,1892,6227,-4,162
10/22/2000,2009,33658,-5,566
10/23/2000,2083,16993,-3,371
10/24/2000,2083,10119,-5,304
10/25/2000,2080,19015,-2,381
10/26/2000,2082,18936,-4,372
10/27/2000,2085,21632,-3,378
10/28/2000,1890,9862,-1,203
10/29/2000,2010,14050,-5,291
10/30/2000,2082,7063,-3,201
10/31/2000,2072,5058,-4,177
6/1/1994,2020,-245,0,39
6/2/1994,2006,-117,-1,32
6/3/1994,2001,1215,-2,54
6/4/1994,1891,2710,-2,109
6/5/1994,1964,2979,1,81
6/6/1994,1982,1708,9,65
6/7/1994,2001,348,5,53
6/8/1994,2006,228,-3,33
6/9/1994,1986,4393,-1,136
6/10/1994,1971,18755,-3,422
6/11/1994,1889,27733,36,445
6/12/1994,1951,3387,0,92
6/13/1994,2044,19027,0,263
6/14/1994,2005,2018,2,59
6/15/1994,1964,20042,2,547
6/16/1994,1925,12838,-2,185
6/17/1994,1939,6368,4,122
6/18/1994,1947,8536,0,184
6/19/1994,1974,12885,-1,274
6/20/1994,1995,25552,-3,416
6/21/1994,2018,5094,-1,112
6/22/1994,2029,4449,0,94
6/23/1994,2016,21206,2,336
6/24/1994,1959,11964,0,221
6/25/1994,1944,4741,-1,98
6/26/1994,1980,6641,-1,145
6/27/1994,2021,5079,18,94
6/28/1994,1971,3139,0,73
6/29/1994,1997,22368,6,348
6/30/1994,1991,17326,2,309
10/1/1991,2086,2890,1,79
10/2/1991,2084,4641,0,100
10/3/1991,2117,3453,-1,64
10/4/1991,2100,27578,0,265
10/5/1991,1878,11692,0,246
10/6/1991,2046,4360,1,88
10/7/1991,2110,2107,0,57
10/8/1991,2106,2591,-1,59
10/9/1991,2105,5338,0,104
10/10/1991,2119,2580,-2,55
10/11/1991,2088,5100,-1,105
10/12/1991,1876,2538,1,50
10/13/1991,2031,4064,2,83
10/14/1991,2104,3767,-2,68
10/15/1991,2092,13364,8,256
10/16/1991,2139,3722,-1,72
10/17/1991,2113,6721,-1,133
10/18/1991,2066,4887,0,76
10/19/1991,1876,4161,1,78
10/20/1991,2050,4652,-1,63
10/21/1991,2119,2196,-1,57
10/22/1991,2087,3210,-1,61
10/23/1991,2071,5208,0,86
10/24/1991,2076,23972,0,342
10/25/1991,2078,9527,1,188
10/26/1991,1867,44200,4,724
10/27/1991,2019,15665,-1,306
10/28/1991,2102,68826,0,880
10/29/1991,2073,46548,0,748
10/30/1991,2060,15544,15,396
10/31/1991,2073,23443,1,587
4/1/1989,1981,7798,15,144
4/2/1989,1976,15900,2,289
4/3/1989,2013,11604,5,241
4/4/1989,2026,29087,5,570
4/5/1989,2045,8871,11,170
4/6/1989,2035,6751,-1,118
4/7/1989,2080,6077,0,115
