"ticker","tradevol"
"AAPL",96404
"AAPL",99520
"AAPL",146751
"AAPL",49178
"AAPL",61546
"AAPL",69953
"AAPL",79418
"AAPL",70288
"AAPL",102625
"AAPL",68726
"AAPL",115456
"AAPL",92534
"AAPL",87162
"AAPL",79310
"AAPL",115412
"AAPL",66785
"AAPL",123310
"AAPL",169870
"AAPL",130402
"AAPL",84583
"AAPL",80373
"AAPL",88082
"AAPL",124908
"AAPL",258876
"AAPL",220859
"AAPL",144052
"AAPL",106671
"AAPL",80951
"AAPL",55693
"AAPL",100970
"AAPL",92729
"AAPL",111480
"AAPL",118375
"AAPL",130923
"AAPL",116917
"AAPL",90604
"AAPL",115997
"AAPL",83686
"AAPL",61880
"AAPL",71042
"AAPL",79728
"AAPL",88021
"AAPL",83088
"AAPL",60490
"AAPL",70774
"AAPL",95700
"AAPL",112896
"AAPL",51882
"AAPL",106548
"AAPL",106901
"AAPL",115109
"AAPL",80875
"AAPL",87645
"AAPL",71489
"AAPL",86636
"AAPL",88712
"AAPL",71370
"AAPL",56879
"AAPL",106501
"AAPL",110059
"AAPL",98026
"AAPL",57904
"AAPL",72009
"AAPL",76082
"AAPL",93971
"AAPL",55987
"AAPL",64818
"AAPL",83087
"AAPL",78675
"AAPL",103463
"AAPL",68025
"AAPL",73257
"AAPL",73433
"AAPL",52562
"AAPL",56583
"AAPL",73828
"AAPL",63662
"AAPL",43636
"AAPL",59742
"AAPL",54424
"AAPL",186266
"AAPL",128528
"AAPL",108174
"AAPL",76644
"AAPL",87751
"AAPL",168999
"AAPL",65564
"AAPL",91642
"AAPL",99437
"AAPL",119679
"AAPL",91842
"AAPL",73232
"AAPL",63673
"AAPL",79111
"AAPL",86280
"AAPL",80560
"AAPL",72798
"AAPL",63614
"AAPL",51779
"AAPL",87072
"AAPL",139403
"AAPL",111763
"AAPL",74956
"AAPL",76930
"AAPL",83416
"AAPL",81238
"AAPL",69555
"AAPL",52965
"AAPL",67010
"AAPL",61815
"AAPL",67705
"AAPL",69452
"AAPL",68438
"AAPL",55420
"AAPL",55363
"AAPL",80469
"AAPL",74216
"AAPL",87439
"AAPL",54403
"AAPL",52575
"AAPL",57119
"AAPL",53439
"AAPL",51873
"AAPL",38739
"AAPL",57733
"AAPL",70563
"AAPL",78317
"AAPL",96703
"AAPL",61486
"AAPL",68374
"AAPL",63255
"AAPL",87879
"AAPL",74020
"AAPL",90902
"AAPL",45854
"AAPL",51001
"AAPL",57461
"AAPL",68935
"AAPL",56939
"AAPL",61671
"AAPL",53872
"AAPL",40471
"AAPL",43905
"AAPL",37438
"AAPL",37461
"AAPL",49255
"AAPL",33265
"AAPL",54949
"AAPL",112826
"AAPL",45633
"AAPL",40180
"AAPL",49573
"AAPL",63344
"AAPL",58190
"AAPL",42596
"AAPL",53632
"AAPL",58850
"AAPL",63158
"AAPL",50158
"AAPL",50221
"AAPL",54585
"AAPL",66940
"AAPL",184814
"AAPL",140475
"AAPL",85288
"AAPL",58443
"AAPL",92627
"AAPL",71804
"AAPL",65870
"AAPL",44777
"AAPL",46395
"AAPL",60077
"AAPL",85276
"AAPL",59135
"AAPL",45099
"AAPL",52953
"AAPL",63000
"AAPL",64061
"AAPL",45196
"AAPL",73337
"AAPL",62967
"AAPL",152266
"AAPL",153516
"AAPL",79100
"AAPL",59557
"AAPL",103659
"AAPL",74711
"AAPL",81890
"AAPL",80747
"AAPL",93731
"AAPL",131075
"AAPL",67574
"AAPL",60924
"AAPL",43305
"AAPL",41288
"AAPL",45187
"AAPL",67829
"AAPL",52861
"AAPL",61105
"AAPL",52971
"AAPL",60373
"AAPL",60306
"AAPL",59482
"AAPL",55535
"AAPL",54117
"AAPL",51819
"AAPL",63461
"AAPL",48622
"AAPL",47963
"AAPL",50784
"AAPL",78170
"AAPL",110915
"AAPL",60024
"AAPL",71135
"AAPL",67047
"AAPL",79171
"AAPL",118733
"AAPL",69543
"AAPL",51318
"AAPL",58478
"AAPL",48383
"AAPL",49118
"AAPL",44462
"AAPL",57499
"AAPL",53242
"AAPL",46532
"AAPL",42904
"AAPL",38602
"AAPL",60652
"AAPL",49202
"AAPL",47602
"AAPL",40280
"AAPL",40877
"AAPL",51849
"AAPL",41542
"AAPL",45956
"AAPL",75146
"AAPL",71294
"AAPL",54774
"AAPL",91494
"AAPL",79856
"AAPL",69053
"AAPL",79028
"AAPL",66412
"AAPL",92604
"AAPL",79732
"AAPL",102174
"AAPL",78461
"AAPL",106448
"AAPL",82577
"AAPL",72518
"AAPL",178834
