year,state,people,,Sum of people,Column Labels,,,,,,,,,,,,,,
1995,AK,1880,,Row Labels,AK,AZ,CA,ID,ME,MI,MN,MT,ND,NM,NY,TX,VT,WA,Grand Total
1995,AK,1540,,1995,376610,29205190,46183289,609377,10079862,33249312,3221683,1783941,2123499,610840,26650768,127573624,3608291,19558203,304834489
1995,AK,971,,1996,389858,28996644,41025944,548265,9717605,35737711,3185284,1703817,1992093,849867,28305410,136714377,3745833,20436522,313349230
1995,ID,10681,,1997,412568,30830724,85390694,557633,9392549,28423111,2945267,1723464,1830518,716171,30072414,144112883,3479050,18733649,358620695
1995,ID,23651,,1998,484515,31633713,91073350,515092,8784477,30453780,3041474,1677457,1710819,721950,28412846,150696714,3241577,14775224,367222988
1995,ME,45178,,1999,445135,33702745,94719363,549129,8360848,30372705,3077093,1882187,1758913,1506747,28120518,163180976,3513607,16493534,387683500
1995,ME,288089,,2000,449025,35419048,94842243,533139,8157485,33681723,3186617,1508956,1799621,1775723,28157505,158331350,3340048,14960465,386142948
1995,ME,44781,,2001,424587,32898914,90519922,505233,7001602,23293815,2874546,1352227,1622173,1543602,26960897,139030419,3146653,13249265,344423855
1995,ME,61789,,2002,427557,36757748,88626173,428262,6209144,19587722,2679808,1344529,1681957,1961163,28568869,125895151,3088227,10520220,327776530
1995,ME,96228,,2003,434308,33790922,90529995,380517,6230425,17738016,2792346,1378490,1621139,1896910,23625248,119902414,2864795,10023511,313209036
1995,ME,23538,,2004,455988,34510828,85908563,368708,6885424,17411214,2989211,1399094,1655062,1879669,23522840,120122963,2791350,10730651,310631565
1995,ME,7742,,2005,459090,32757467,84284815,383917,6979255,17584506,2882980,1511756,1653555,2135676,22806481,115786714,2266864,10670488,302163564
1995,ME,163926,,2006,446328,32092343,82290943,403741,6808001,16838170,2684754,1607941,1625925,2310335,22643079,112021593,2904137,11301486,295978776
1995,ME,67209,,2007,460230,31711464,75776653,404313,5134979,15940271,2257949,1270063,1560804,2847206,22030593,107147439,2866902,10680480,280089346
1995,ME,8950,,2008,282775,36679986,96600910,792256,8154745,20862454,3240582,1702573,2284057,2941804,28489394,145457321,4467862,16333633,368290352
1995,MI,1727509,,2009,306172,33034145,89571930,701786,7302716,18469234,3121254,1708424,1930326,3325105,26550656,126705254,3957573,16566932,333251507
1995,MI,318623,,2010,308057,29025054,85611292,797980,8057496,18834063,3517236,1977233,2325740,3213066,27052632,111859942,3960190,19237613,315777594
1995,MI,326415,,2011,308701,27032659,85106349,807437,8057083,19719505,3335283,1919457,2365683,2492612,28573228,97531772,4037826,22069947,303357542
1995,MN,31953,,2012,323286,28536793,87340975,787925,8171226,20253139,3350177,2043511,2577215,2476675,29616998,100539285,4274803,24120515,314412523
1995,MN,30458,,2013,323283,30789022,89847628,808451,7880085,20360326,3265567,2135200,2520540,2760920,28923673,106473985,4401438,25978978,326469096
1995,MN,82010,,2014,306829,31197110,94682640,795052,7413263,19604188,3200480,2117489,2437116,2976607,27285658,111234466,4345631,24579052,332175581
1995,MN,8497,,2015,352480,32424827,102405742,683673,6071468,17978453,2903262,1891295,2068910,3287781,24590829,114757904,3999152,20555704,333971480
1995,MN,1204,,Grand Total,8177382,673027346,1782339413,12361886,160849738,476393418,63752853,35639104,41145665,44230429,560960536,2635076546,74301809,351576072,6919832197
1995,MN,8574,,,,,,,,,,,,,,,,,
1995,MN,17462,,,,,,,,,,,,,,,,,
1995,MT,5512,,,,,,,,,,,,,,,,,
1995,MT,856,,,,,,,,,,,,,,,,,
1995,MT,609,,,,,,,,,,,,,,,,,
1995,MT,11163,,,,,,,,,,,,,,,,,
1995,MT,5316,,,,,,,,,,,,,,,,,
1995,MT,16663,,,,,,,,,,,,,,,,,
1995,MT,970,,,,,,,,,,,,,,,,,
1995,MT,69303,,,,,,,,,,,,,,,,,
1995,MT,1997,,,,,,,,,,,,,,,,,
1995,MT,542,,,,,,,,,,,,,,,,,
1995,MT,219,,,,,,,,,,,,,,,,,
1995,NY,79003,,,,,,,,,,,,,,,,,
1995,NY,837781,,,,,,,,,,,,,,,,,
1995,NY,191870,,,,,,,,,,,,,,,,,
1995,NY,208731,,,,,,,,,,,,,,,,,
1995,NY,40849,,,,,,,,,,,,,,,,,
1995,NY,28761,,,,,,,,,,,,,,,,,
1995,ND,1172,,,,,,,,,,,,,,,,,
1995,ND,1635,,,,,,,,,,,,,,,,,
1995,ND,2689,,,,,,,,,,,,,,,,,
1995,ND,11262,,,,,,,,,,,,,,,,,
1995,ND,2692,,,,,,,,,,,,,,,,,
1995,ND,1119,,,,,,,,,,,,,,,,,
1995,ND,1626,,,,,,,,,,,,,,,,,
1995,ND,2578,,,,,,,,,,,,,,,,,
1995,ND,6305,,,,,,,,,,,,,,,,,
1995,ND,6264,,,,,,,,,,,,,,,,,
1995,ND,2812,,,,,,,,,,,,,,,,,
1995,ND,41149,,,,,,,,,,,,,,,,,
1995,ND,23087,,,,,,,,,,,,,,,,,
1995,ND,1112,,,,,,,,,,,,,,,,,
1995,ND,2937,,,,,,,,,,,,,,,,,
1995,ND,3740,,,,,,,,,,,,,,,,,
1995,ND,5531,,,,,,,,,,,,,,,,,
1995,ND,1703,,,,,,,,,,,,,,,,,
1995,VT,11681,,,,,,,,,,,,,,,,,
1995,VT,106911,,,,,,,,,,,,,,,,,
1995,VT,57989,,,,,,,,,,,,,,,,,
1995,VT,10145,,,,,,,,,,,,,,,,,
1995,VT,20482,,,,,,,,,,,,,,,,,
1995,WA,634155,,,,,,,,,,,,,,,,,
1995,WA,6349,,,,,,,,,,,,,,,,,
1995,WA,13831,,,,,,,,,,,,,,,,,
1995,WA,2052,,,,,,,,,,,,,,,,,
1995,WA,10681,,,,,,,,,,,,,,,,,
1995,WA,6978,,,,,,,,,,,,,,,,,
1995,WA,114246,,,,,,,,,,,,,,,,,
1995,WA,4831,,,,,,,,,,,,,,,,,
1995,WA,1118,,,,,,,,,,,,,,,,,
1995,WA,44362,,,,,,,,,,,,,,,,,
1995,WA,173485,,,,,,,,,,,,,,,,,
1995,WA,216032,,,,,,,,,,,,,,,,,
1995,AZ,420052,,,,,,,,,,,,,,,,,
1995,AZ,64069,,,,,,,,,,,,,,,,,
1995,AZ,62484,,,,,,,,,,,,,,,,,
1995,AZ,1194230,,,,,,,,,,,,,,,,,
1995,AZ,5084,,,,,,,,,,,,,,,,,
1995,AZ,897484,,,,,,,,,,,,,,,,,
1995,CA,326464,,,,,,,,,,,,,,,,,
1995,CA,2343189,,,,,,,,,,,,,,,,,
1995,CA,877996,,,,,,,,,,,,,,,,,
1995,CA,293378,,,,,,,,,,,,,,,,,
1995,NM,41299,,,,,,,,,,,,,,,,,
1995,TX,1450364,,,,,,,,,,,,,,,,,
1995,TX,398092,,,,,,,,,,,,,,,,,
1995,TX,575377,,,,,,,,,,,,,,,,,
1995,TX,3289484,,,,,,,,,,,,,,,,,
1995,TX,145265,,,,,,,,,,,,,,,,,
1995,TX,1900559,,,,,,,,,,,,,,,,,
1995,TX,1484228,,,,,,,,,,,,,,,,,
1995,TX,123211,,,,,,,,,,,,,,,,,
1995,TX,309148,,,,,,,,,,,,,,,,,
1995,TX,154429,,,,,,,,,,,,,,,,,
1995,TX,363339,,,,,,,,,,,,,,,,,
1995,CA,287,,,,,,,,,,,,,,,,,
1995,TX,3363078,,,,,,,,,,,,,,,,,
1995,AK,1862,,,,,,,,,,,,,,,,,
1995,AK,1062,,,,,,,,,,,,,,,,,
1995,AK,1237,,,,,,,,,,,,,,,,,
1995,ID,9228,,,,,,,,,,,,,,,,,
1995,ID,22748,,,,,,,,,,,,,,,,,
1995,ME,28362,,,,,,,,,,,,,,,,,
1995,ME,250334,,,,,,,,,,,,,,,,,
1995,ME,39898,,,,,,,,,,,,,,,,,
1995,ME,51908,,,,,,,,,,,,,,,,,
1995,ME,75824,,,,,,,,,,,,,,,,,
1995,ME,25790,,,,,,,,,,,,,,,,,
1995,ME,6275,,,,,,,,,,,,,,,,,
