"year","jan","feb","march","april","may","june","july","august","sep","oct","nov","dec"
1998,"12.79","12.84","12.88","12.92","12.96","12.99","13.01","13.09","13.11","13.14","13.18","13.21"
1999,"13.27","13.30","13.34","13.38","13.43","13.47","13.52","13.55","13.61","13.64","13.66","13.70"
2000,"13.75","13.80","13.85","13.91","13.94","13.98","14.03","14.07","14.12","14.18","14.23","14.28"
2001,"14.29","14.38","14.42","14.45","14.50","14.55","14.56","14.60","14.64","14.66","14.72","14.75"
2002,"14.76","14.79","14.82","14.83","14.88","14.95","14.98","15.02","15.07","15.12","15.15","15.21"
2003,"15.22","15.29","15.29","15.28","15.34","15.36","15.40","15.42","15.42","15.43","15.47","15.48"
2004,"15.51","15.54","15.57","15.60","15.64","15.67","15.71","15.75","15.79","15.82","15.85","15.87"
2005,"15.91","15.93","15.98","16.02","16.05","16.08","16.15","16.18","16.20","16.30","16.31","16.37"
2006,"16.43","16.49","16.55","16.66","16.66","16.72","16.79","16.83","16.88","16.95","16.99","17.07"
2007,"17.12","17.17","17.24","17.29","17.34","17.41","17.47","17.51","17.57","17.59","17.64","17.71 p"
1998,"12.78","12.84","12.88","12.92","12.96","12.99","13.01","13.09","13.11","13.14","13.18","13.21"
1999,"13.27","13.29","13.34","13.38","13.43","13.47","13.52","13.55","13.61","13.64","13.66","13.70"
2000,"13.75","13.80","13.85","13.91","13.94","13.98","14.03","14.07","14.13","14.19","14.23","14.28"
2001,"14.30","14.37","14.42","14.46","14.50","14.55","14.56","14.60","14.64","14.66","14.72","14.75"
2002,"14.76","14.78","14.82","14.84","14.88","14.94","14.98","15.02","15.07","15.12","15.15","15.21"
2003,"15.21","15.29","15.29","15.28","15.34","15.37","15.41","15.43","15.42","15.43","15.48","15.48"
2004,"15.50","15.54","15.57","15.60","15.65","15.67","15.72","15.75","15.79","15.81","15.85","15.88"
2005,"15.91","15.93","15.98","16.02","16.06","16.08","16.16","16.18","16.21","16.30","16.31","16.37"
2006,"16.43","16.49","16.55","16.63","16.66","16.73","16.79","16.84","16.88","16.94","16.99","17.07"
2007,"17.10","17.16","17.21","17.25","17.32","17.40","17.45","17.50","17.54","17.57","17.64 p     17.71 p

","Difference in level"
1998,"14.06","14.13","14.16","14.16","14.20","14.19","14.17","14.28","14.31","14.34","14.38","14.41"
1999,"14.44","14.45","14.51","14.58","14.65","14.73","14.76","14.78","14.85","14.88","14.90","14.95"
2000,"15.01","15.05","15.11","15.18","15.17","15.21","15.26","15.32","15.36","15.45","15.49","15.50"
2001,"15.52","15.57","15.62","15.62","15.71","15.77","15.81","15.86","15.88","15.91","15.99","16.07"
2002,"16.11","16.16","16.18","16.21","16.24","16.29","16.33","16.38","16.43","16.48","16.51","16.60"
2003,"16.63","16.64","16.69","16.71","16.76","16.80","16.81","16.86","16.89","16.88","16.94","16.96"
2004,"17.00","17.05","17.09","17.12","17.13","17.16","17.21","17.23","17.31","17.31","17.34","17.38"
2005,"17.36","17.45","17.46","17.52","17.55","17.56","17.62","17.67","17.66","17.74","17.73","17.77"
2006,"17.78","17.81","17.83","17.87","17.91","17.99","18.01","18.07","18.10","18.19","18.23","18.33"
2007,"18.37","18.39","18.49","18.56","18.63","18.68","18.69","18.73","18.78","18.77","18.84","18.89 p"
1998,"14.06","14.13","14.16","14.16","14.20","14.19","14.17","14.28","14.31","14.34","14.38","14.41"
1999,"14.43","14.46","14.51","14.58","14.66","14.72","14.76","14.79","14.86","14.89","14.90","14.95"
2000,"15.01","15.06","15.10","15.17","15.17","15.21","15.26","15.33","15.36","15.45","15.48","15.49"
2001,"15.52","15.56","15.62","15.62","15.71","15.77","15.83","15.86","15.88","15.91","15.98","16.06"
2002,"16.10","16.14","16.18","16.22","16.25","16.29","16.34","16.37","16.42","16.47","16.50","16.60"
2003,"16.63","16.64","16.68","16.70","16.76","16.80","16.82","16.86","16.90","16.88","16.94","16.96"
2004,"17.00","17.05","17.09","17.12","17.13","17.16","17.21","17.23","17.31","17.30","17.34","17.37"
2005,"17.36","17.45","17.46","17.52","17.55","17.58","17.62","17.67","17.65","17.72","17.73","17.76"
2006,"17.79","17.80","17.82","17.87","17.93","18.00","18.00","18.06","18.08","18.15","18.21","18.29"
2007,"18.34","18.37","18.45","18.53","18.61","18.65","18.67","18.71","18.75","18.73","18.83 p     18.85 p

","Difference in level"
1998,"12.36","12.41","12.46","12.51","12.55","12.60","12.63","12.70","12.72","12.75","12.79","12.82"
1999,"12.89","12.92","12.96","13.00","13.04","13.07","13.12","13.16","13.21","13.25","13.26","13.30"
2000,"13.35","13.40","13.44","13.51","13.55","13.60","13.65","13.68","13.74","13.79","13.85","13.91"
2001,"13.92","14.02","14.06","14.10","14.14","14.18","14.19","14.24","14.28","14.30","14.35","14.38"
2002,"14.38","14.40","14.44","14.44","14.50","14.57","14.60","14.64","14.69","14.75","14.78","14.83"
2003,"14.84","14.92","14.92","14.90","14.95","14.98","15.02","15.03","15.03","15.04","15.08","15.08"
2004,"15.11","15.14","15.16","15.20","15.24","15.27","15.30","15.35","15.38","15.42","15.45","15.47"
2005,"15.53","15.53","15.59","15.62","15.65","15.68","15.76","15.79","15.82","15.91","15.93","16.00"
2006,"16.07","16.14","16.21","16.33","16.32","16.38","16.46","16.50","16.55","16.61","16.66","16.73"
2007,"16.78","16.85","16.91","16.96","17.01","17.08","17.15","17.19","17.26","17.28","17.33","17.41 p"
1998,"12.36","12.41","12.46","12.52","12.55","12.60","12.63","12.70","12.72","12.75","12.79","12.82"
1999,"12.89","12.92","12.96","13.00","13.04","13.07","13.12","13.16","13.21","13.24","13.26","13.30"
2000,"13.35","13.40","13.45","13.50","13.55","13.60","13.64","13.68","13.75","13.80","13.85","13.91"
2001,"13.93","14.01","14.06","14.10","14.13","14.18","14.19","14.24","14.27","14.30","14.35","14.38"
