"character_name","appearance_count"
"""SPIDER-MAN/PETER PAR""",1625
"""CAPTAIN AMERICA""",1367
"""IRON MAN/TONY STARK """,1168
"""THING/BENJAMIN J. GR""",990
"""THOR/DR. DONALD BLAK""",965
"""HUMAN TORCH/JOHNNY S""",908
"""MR. FANTASTIC/REED R""",875
"""HULK/DR. ROBERT BRUC""",841
"""WOLVERINE/LOGAN """,820
"""INVISIBLE WOMAN/SUE """,782
"""BEAST/HENRY &HANK& P""",645
"""SCARLET WITCH/WANDA """,644
"""DR. STRANGE/STEPHEN """,632
"""DAREDEVIL/MATT MURDO""",625
"""WATSON-PARKER, MARY """,624
"""HAWK""",611
"""VISION """,605
"""CYCLOPS/SCOTT SUMMER""",596
"""WASP/JANET VAN DYNE """,591
"""JAMESON, J. JONAH""",589
"""ANT-MAN/DR. HENRY J.""",569
"""SUB-MARINER/NAMOR MA""",535
"""STORM/ORORO MUNROE S""",524
"""PROFESSOR X/CHARLES """,505
"""MARVEL GIRL/JEAN GRE""",475
