year,state,percent insured,,Sum of percent insured,Column Labels,,,,,,State,2008,2009,2010,2012,2013,,
2008,Alabama,84.7,,Row Labels,2008,2009,2010,2012,2013,,California,80.8,79.9,79.3,80,80.6,,
2008,Alaska,79.5,,Alabama,84.7,84.2,83.1,84.2,84.1,,District of Columbia,91.4,91.8,91,93,92.4,,
2008,Arizona,79.5,,Alaska,79.5,77.3,78.6,77.7,79.2,,Florida,75.8,75.1,74.7,75.9,75.7,,
2008,Arkansas,80.2,,Arizona,79.5,80.1,80.7,79.6,80,,Illinois,86.1,85,84.4,85.4,85.4,,
2008,California,80.8,,Arkansas,80.2,80.4,79.4,80.6,81.2,,New York,86.9,86.8,86.3,87.4,87.6,,
2008,Colorado,81.9,,California,80.8,79.9,79.3,80,80.6,,Washington,86,85,83.9,84.2,84.1,,
2008,Connecticut,89.9,,Colorado,81.9,82.8,82.3,83.3,84,,,,,,,,,
2008,Delaware,88.3,,Connecticut,89.9,89.8,89.6,89.5,89.1,,,,,,,,,
2008,District of Columbia,91.4,,Delaware,88.3,88,88.4,89.7,89.1,,,,,,,,,
2008,Florida,75.8,,District of Columbia,91.4,91.8,91,93,92.4,,,,,,,,,
2008,Georgia,79.9,,Florida,75.8,75.1,74.7,75.9,75.7,,,,,,,,,
2008,Hawaii,92.3,,Georgia,79.9,78.8,78.1,79.3,78.9,,,,,,,,,
2008,Idaho,80.9,,Hawaii,92.3,91.8,91.1,92.2,92.4,,,,,,,,,
2008,Illinois,86.1,,Idaho,80.9,80.7,79.7,81.5,81.2,,,,,,,,,
2008,Indiana,84.9,,Illinois,86.1,85,84.4,85.4,85.4,,,,,,,,,
2008,Iowa,90,,Indiana,84.9,83.8,83,83.4,83.9,,,,,,,,,
2008,Kansas,87.2,,Iowa,90,90,89.3,90.1,90.4,,,,,,,,,
2008,Kentucky,85,,Kansas,87.2,85.4,84.2,85.6,85.9,,,,,,,,,
2008,Louisiana,80.5,,Kentucky,85,83.5,82.5,83.8,83.2,,,,,,,,,
