state,year,pop1864,pct,,,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,2001,2760170,7.67,,,CA,,TX,,NY,,FL,,IL,,PA,,OH,,GA,,NC,,MI,,NJ,,VA,,WA,,MA,,IN,,TN,,AZ,,MD,,MO,,WI,,CO,,MN,,AL,,SC,,LA,,KY,,OR,,OK,,CT,,PR,,IA,,MS,,AR,,NV,,KS,,UT,,NM,,NE,,WV,,ID,,HI,,NH,,ME,,RI,,MT,,DE,,SD,,AK,,DC,,ND,,VT,,WY,
AL,2002,2770228,8.07,,Row Labels,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct
AL,2003,2787370,8.35,,2001,21528766,4.13,13237659,3.51,11962032,5.5,9792187,5,7764992,4.36,7478501,5.45,7006190,5.22,5386624,4.91,5213767,5.66,6188438,5.33,5280746,3.88,4629213,4.39,3799843,4.12,4042734,5.35,3791503,4.55,3634143,6.58,3209672,4.28,3401308,3.62,3457792,5.68,3339219,4.14,2878695,3.17,3095463,3.61,2760170,7.67,2551769,6.39,2741824,6.79,2566411,9.19,2179584,4.19,2121208,5.18,2115946,4.19,2319146,6.21,1767592,4.24,1738726,8.72,1636232,7.46,1326893,3.59,1636843,4,1367174,2.6,1110798,5.15,1038351,3.8,1127788,10.26,799559,4.11,763477,3.35,795106,4.06,800822,6.81,658375,5.89,556783,4.72,495410,4.5,449536,4.22,407208,3.14,392066,4.99,386719,3.67,388418,5.07,308796,3.81
AL,2004,2803855,8.66,,2002,21848399,4.22,13501245,3.69,12040647,5.55,10019416,5.08,7823158,4.45,7519122,5.64,7041226,5.27,5491957,4.97,5282336,5.81,6230909,5.5,5326583,3.93,4689289,4.47,3860724,4.25,4073396,5.42,3815064,4.71,3667648,6.7,3304451,4.39,3449771,3.66,3493320,5.83,3379385,4.27,2931316,3.17,3131843,3.71,2770228,8.07,2580856,6.52,2756830,6.98,2585343,9.38,2220277,4.33,2140153,5.38,2136165,4.25,2338381,6.3,1776256,4.38,1746808,8.9,1649376,7.72,1369299,3.77,1652207,4.07,1400736,2.65,1128797,5.33,1046642,3.91,1131001,10.61,815053,4.28,772370,3.49,806863,4.24,810854,7.06,666912,5.97,562419,4.78,502256,4.67,454485,4.27,415107,3.28,393282,5.06,387753,3.77,392652,5.18,313131,3.8
AL,2005,2824057,8.98,,2003,22137789,4.32,13729595,3.88,12121207,5.57,10228397,5.21,7871422,4.55,7562801,5.86,7076855,5.37,5582321,5.05,5338132,6,6271247,5.65,5360936,4.03,4748019,4.59,3907828,4.4,4093015,5.53,3843186,4.88,3700075,6.87,3389781,4.55,3492159,3.75,3524140,5.99,3416248,4.41,2961086,3.2,3166078,3.84,2787370,8.35,2609953,6.68,2771314,7.14,2603004,9.6,2249437,4.46,2151731,5.64,2154292,4.33,2355849,6.42,1785424,4.47,1755759,9.07,1662931,8.05,1411042,3.93,1664249,4.19,1433317,2.69,1146166,5.51,1056428,4.02,1134862,10.96,831354,4.47,779307,3.58,817193,4.51,821076,7.35,673602,6.12,569975,4.86,509726,4.85,460454,4.29,422571,3.39,392836,5.15,390408,3.84,395895,5.34,315905,3.85
AL,2006,2855278,9.19,,2004,22396509,4.41,13971027,4.04,12203069,5.64,10493881,5.24,7930441,4.61,7606247,6.05,7107319,5.49,5703094,5.06,5414686,6.13,6306142,5.79,5391075,4.11,4810047,4.71,3961600,4.55,4105893,5.67,3869243,5.03,3741293,7.02,3494465,4.68,3525951,3.88,3559958,6.18,3453887,4.55,3001297,3.24,3197470,3.96,2803855,8.66,2648695,6.79,2791839,7.35,2625053,9.8,2270553,4.6,2168688,5.9,2166546,4.38,2371973,6.34,1797674,4.58,1768987,9.23,1679868,8.36,1467615,4.02,1677162,4.34,1471413,2.73,1163728,5.75,1064681,4.15,1136880,11.28,850374,4.6,789228,3.69,826723,4.74,827615,7.57,676706,6.34,578951,4.91,517323,5.14,467546,4.34,432731,3.44,395129,5.27,396031,3.85,398951,5.49,319428,3.91
AL,2007,2878957,9.36,,2005,22604027,4.47,14218624,4.27,12265769,5.7,10758566,5.28,7973467,4.69,7648418,6.23,7131821,5.63,5803114,5.13,5496674,6.26,6327664,5.93,5414101,4.19,4870787,4.85,4020283,4.68,4118474,5.81,3896924,5.18,3787059,7.13,3623058,4.74,3558084,3.99,3595128,6.33,3487942,4.67,3042355,3.31,3224473,4.06,2824057,8.98,2678940,6.92,2802464,6.92,2643196,9.93,2305320,4.71,2180541,6.18,2177216,4.45,2386915,6.4,1808351,4.7,1777239,9.4,1697784,8.68,1517145,3.99,1689569,4.46,1509003,2.84,1180575,6.02,1073969,4.23,1138804,11.53,870743,4.76,800600,3.76,835293,4.98,833288,7.77,675831,6.5,586744,4.98,525112,5.3,472605,4.4,439942,3.5,398245,5.35,396987,3.94,401351,5.65,322254,4.02
AL,2008,2898356,9.58,,2006,22803693,4.5,14552832,4.4,12328947,5.76,10967359,5.27,8032394,4.75,7700850,6.43,7153639,5.73,5942009,5.14,5616359,6.34,6340215,6.06,5435292,4.26,4925437,4.96,4097731,4.78,4140760,5.94,3927656,5.31,3835619,7.27,3755307,4.66,3583753,4.07,3631308,6.45,3516597,4.78,3102583,3.37,3257405,4.19,2855278,9.19,2725371,6.95,2660436,7.58,2660258,10.11,2346835,4.79,2204977,6.41,2192276,4.53,2402138,6.47,1821214,4.77,1776020,9.53,1719996,8.87,1568166,3.98,1703966,4.52,1557870,2.94,1197305,6.18,1081105,4.29,1140435,11.82,893694,4.88,808669,3.82,843913,5.25,838130,7.93,675939,6.62,595396,5.08,532628,5.4,478735,4.47,446337,3.62,401796,5.5,399983,4.07,403781,5.85,326809,4.06
AL,2009,2928795,9.91,,2007,23004656,4.55,14844414,4.53,12407119,5.82,11077389,5.29,8091201,4.79,7743755,6.58,7176024,5.82,6059293,5.14,5729736,6.37,6329092,6.2,5457318,4.3,4967218,5,4157356,4.86,4169785,6.08,3954898,5.45,3886324,7.35,3853265,4.62,3600312,4.15,3663729,6.56,3542199,4.9,3160444,3.44,3288374,4.29,2878957,9.36,2773727,6.95,2739156,7.65,2682502,10.26,2384174,4.87,2228343,6.68,2198815,4.63,2416466,6.6,1833853,4.81,1789893,9.57,1733741,9.19,1609485,4,1717772,4.6,1605164,3.01,1213219,6.33,1087452,4.35,1141880,12.09,913983,4.95,806561,3.94,848556,5.5,840956,8.2,674254,6.78,603069,5.17,539348,5.55,484514,4.52,450858,3.68,404845,5.63,401360,4.14,405049,6.12,333315,4.08
AL,2010,2994402,9.91,,2008,23277640,4.6,15128980,4.69,12474609,5.95,11136272,5.42,8146995,4.9,7775704,6.74,7184696,6.03,6155879,5.24,5839685,6.43,6308902,6.44,5484138,4.4,5005311,5.08,4224172,4.94,4199836,6.21,3978272,5.67,3916668,7.52,3930386,4.62,3613449,4.3,3684901,6.73,3563409,5.09,3221227,3.51,3315230,4.39,2898356,9.58,2817278,7.08,2762509,7.85,2695314,10.49,2418487,4.99,2245689,6.93,2211032,4.71,2431758,6.83,1845388,4.9,1800300,9.7,1745704,9.52,1635649,4.07,1734943,4.79,1640587,3.1,1221855,6.5,1095590,4.48,1143243,12.31,929026,5.06,812888,4.01,852473,5.7,842402,8.44,674602,6.99,609770,5.31,545175,5.66,489785,4.58,456140,3.73,409169,5.84,404157,4.21,405691,6.38,338597,4.18
AL,2011,3003011,10.46,,2009,23377927,4.69,15347118,4.9,12497615,6.13,11284355,5.63,8138559,5.07,7883369,6.88,7222988,6.28,6230605,5.5,5910892,6.68,6280063,6.89,5488867,4.57,5075318,5.16,4288401,5.12,4266071,6.32,4005157,5.95,3962049,7.77,3997025,4.7,3652747,4.45,3733817,6.96,3583245,5.38,3263405,3.61,3334362,4.57,2928795,9.91,2857287,7.38,2814394,8.06,2729454,10.73,2435984,5.29,2272239,7.15,2222248,4.75,2444038,7.22,1850407,5.08,1807341,10.02,1765801,9.86,1655209,4.19,1746250,5.07,1664589,3.23,1238091,6.7,1104348,4.63,1145771,12.42,939193,5.29,816637,4.17,856257,5.93,841508,8.65,675788,7.16,613258,5.5,551436,5.89,495035,4.7,462078,3.87,415437,6.08,408003,4.3,405574,6.67,345378,4.26
AL,2012,2998237,10.84,,2010,23765508,4.69,15752451,4.9,12451410,6.13,11564139,5.63,8103419,5.07,7965597,6.88,7187818,6.28,6180528,5.5,6038241,6.68,6176933,6.89,5547000,4.57,5187159,5.16,4327218,5.12,4231960,6.32,4041170,5.95,4004156,7.77,3892942,4.7,3721842,4.45,3731389,6.96,3574983,5.38,3267420,3.61,3341567,4.57,2994402,9.91,2920607,7.38,2868494,8.06,2743411,10.73,2435946,5.29,2322171,7.15,2251906,4.75,2277525,7.22,1869751,5.08,1834218,10.02,1788875,9.86,1712577,4.19,1755787,5.07,1652697,3.23,1272732,6.7,1123922,4.63,1169933,12.42,946247,5.29,862241,4.17,851011,5.93,841903,8.65,676699,7.16,620354,5.5,564116,5.89,496752,4.7,470389,3.87,434751,6.08,427192,4.3,405525,6.67,358898,4.26
AL,2013,3001075,10.84,,2011,24021369,4.82,16007914,5.13,12514495,6.41,11702916,6.04,8130367,5.33,8000162,7.3,7203415,6.98,6247840,6.07,6090022,6.98,6191220,7.82,5569985,4.85,5231995,5.36,4383408,5.54,4260632,6.75,4061232,6.5,4031566,8.35,3935556,5.14,3752166,4.8,3743915,7.57,3592939,5.83,3310888,4.01,3365567,4.9,3003011,10.46,2940114,7.8,2884200,8.49,2756550,11.23,2455031,5.81,2337695,7.4,2261936,4.93,2265125,8.54,1880201,5.33,1840202,10.37,1798406,10.34,1720069,4.49,1764655,5.45,1677692,3.59,1280430,6.89,1132194,4.84,1169600,12.54,954436,5.73,867662,4.16,853834,6.63,842752,9.11,677623,7.65,624393,5.85,569003,6.06,502273,4.96,476064,4.13,442483,6.41,434181,4.32,406291,7.23,360954,4.4
AL,2014,2997874,10.98,,2012,24201126,4.86,16234269,5.21,12549535,6.49,11805373,6.23,8116753,5.45,7981289,7.54,7175429,7.27,6290121,6.34,6117676,7.16,6173776,8.13,5587651,4.98,5266625,5.46,4403628,5.73,4286235,6.89,4056709,6.74,4043720,8.62,3960828,5.26,3777744,4.94,3735332,7.84,3584341,6.06,3342983,4.11,3373224,5.07,2998237,10.84,2948174,8.02,2888885,8.69,2747524,11.39,2457110,6.02,2343210,7.55,2264077,5.05,2235685,9.01,1880928,5.48,1835518,10.59,1795660,10.59,1734434,4.64,1767332,5.61,1695896,3.75,1276263,7.16,1134766,4.96,1159423,12.57,956497,5.98,878501,4.11,852075,6.84,836898,9.41,675189,7.89,624872,5.98,571568,6.18,507002,5.1,481852,4.12,450954,6.61,444354,4.22,403616,7.51,365414,4.45
AL,2015,2997874,10.98,,2013,24365913,4.86,16440040,5.21,12578670,6.49,11878569,6.23,8115187,5.45,7966826,7.54,7168681,7.27,6306503,6.34,6155356,7.16,6162828,8.13,5593754,4.98,5290489,5.46,4424527,5.73,4309566,6.89,4069842,6.74,4052025,8.62,3990948,5.26,3789311,4.94,3738709,7.84,3584970,6.06,3383044,4.11,3385192,5.07,3001075,10.84,2967273,8.02,2899027,8.69,2899027,11.39,2465064,6.02,2465064,7.55,2264843,5.05,2201351,9.01,1885505,5.48,1837475,10.59,1795087,10.59,6155356,4.64,1764802,5.61,1720648,3.75,1271086,7.16,1140160,4.96,1152585,12.57,961213,5.98,877231,4.11,5593754,6.84,831959,9.41,674710,7.89,626416,5.98,574707,6.18,510755,5.1,480911,4.12,461553,6.61,457890,4.22,401456,7.51,366290,4.45
