"state","total","property","sales","license","income","other"
"United States",865752089,14232835,411414175,51120024,357104785,31880270
"Alabama",9293754,329598,4812674,386378,3612991,152113
"Alaska",3392869,128076,257696,141947,408938,2456212
"Arizona",13084043,823508,7759625,437127,4037593,26190
"Arkansas",8936781,1077377,4324157,368622,3000653,165972
"California",138069870,2176236,50002053,8922534,76854157,114890
"Florida",35384350,250,29046930,2133240,2043750,2160180
"Georgia",18628502,788350,7310132,609944,9909378,10698
"Illinois",39182894,54710,15758509,2675943,20343042,350690
"Indiana",16846961,8052,10395150,590483,5763064,90212
"Kansas",7334481,81267,3890900,395454,2841841,125019
"Kentucky",11103545,562370,5354124,472225,4423722,291104
"Louisiana",9695281,55363,5115636,427090,3234892,862300
"Maine",3847181,35755,1911398,254251,1597038,48739
"Maryland",18929069,725694,8022537,853851,8756557,570430
"Massachusetts",25235726,3433,7933030,1012557,15440841,845865
"Michigan",24803973,1919910,12309564,1511695,8755723,307081
"Minnesota",23128901,836743,9759346,1314463,10844216,374133
"Mississippi",7574515,25103,4704955,559218,2193646,91593
"Missouri",11240657,29725,4915210,564474,5719700,11548
"Montana",2655553,268508,550254,314271,1213400,309120
"Nebraska",4877401,143,2303952,126745,2430755,15806
"Nevada",7143169,258600,5714197,608375,0,561997
"New Hampshire",2282507,383126,877035,280011,635590,106745
"New Jersey",29679226,6705,12751851,1516698,14341741,1062231
"New Mexico",5757432,105637,2799875,282382,1503195,1066343
"North Dakota",6120435,3026,1848130,227245,748966,3293068
"Oregon",9683640,21740,1444542,960777,7144552,112029
"Pennsylvania",34192869,45017,17419429,2302934,13111325,1314164
"Rhode Island",2965975,2591,1566191,132146,1208517,56530
"South Carolina",8932564,21664,4628363,471862,3750341,60334
"Vermont",2962531,985478,1014960,109996,781057,71040
"Virginia",18949272,35561,6063182,795515,11618200,436814
"Washington",19447899,1974354,15210264,1414960,0,848321
"West Virginia",5379937,0,2560993,152754,1973974,692216
"Wisconsin",16410925,159069,7359539,1040619,7779733,71965
"Wyoming",2263387,300096,925757,148092,0,889442
