yeardisease,year,disease,death_count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923PNEUMONIA,1923,PNEUMONIA,8736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920PNEUMONIA,1920,PNEUMONIA,8000,,Sum of death_count,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922PNEUMONIA,1922,PNEUMONIA,7777,,Row Labels,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2012,2013,2014,Grand Total
1919TUBERCULOSIS [PHTHISIS PULMONALIS],1919,TUBERCULOSIS [PHTHISIS PULMONALIS],7626,,BRUCELLOSIS [UNDULANT FEVER],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121
1920TUBERCULOSIS [PHTHISIS PULMONALIS],1920,TUBERCULOSIS [PHTHISIS PULMONALIS],7243,,CHICKENPOX [VARICELLA],,2,9,1,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146
1918TUBERCULOSIS [PHTHISIS PULMONALIS],1918,TUBERCULOSIS [PHTHISIS PULMONALIS],7169,,CHOLERA,,,,,,2,,,,2,1,,,4,,,,,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125
1921PNEUMONIA,1921,PNEUMONIA,7126,,DENGUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308
1923TUBERCULOSIS [PHTHISIS PULMONALIS],1923,TUBERCULOSIS [PHTHISIS PULMONALIS],6950,,DIPHTHERIA,,514,1047,1001,1024,1024,955,1394,1560,1560,1335,1142,1328,1480,1398,1531,1430,1293,1248,1376,1626,1567,1580,1196,1532,1415,1457,1510,1531,1638,1900,1967,2201,2267,2605,2381,2272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54396
1922TUBERCULOSIS [PHTHISIS PULMONALIS],1922,TUBERCULOSIS [PHTHISIS PULMONALIS],6875,,INFLUENZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1759,736,1459,1925,5652,5426,5501,5398,5208,5108,5376,5261,5352,5480,5363,5474,5976,6025,6069,6118,6121,6088,4513,4493,4530,4547,4411,4637,2264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136270
1921TUBERCULOSIS [PHTHISIS PULMONALIS],1921,TUBERCULOSIS [PHTHISIS PULMONALIS],6874,,LEPROSY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
1940TUBERCULOSIS [PHTHISIS PULMONALIS],1940,TUBERCULOSIS [PHTHISIS PULMONALIS],6139,,MENINGITIS,,,,,,,,,,,,,,,,,,,132,,,,,,,509,538,460,435,508,896,1108,747,761,611,577,568,1471,1622,1467,805,32,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13282
1940PNEUMONIA,1940,PNEUMONIA,6130,,PELLAGRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1460,1622,1486,1960,2026,2233,2302,2207,1243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16539
1939TUBERCULOSIS [PHTHISIS PULMONALIS],1939,TUBERCULOSIS [PHTHISIS PULMONALIS],6126,,PNEUMONIA,,,,,,,,,,,,,,,,,,,,,,,,,,2557,1145,1106,948,1001,1411,2871,2260,8000,7126,7777,8736,5598,5367,5463,5381,5118,5088,5361,5277,5354,5521,5387,5499,6014,6047,6086,6123,6130,6104,4513,4494,4535,4549,4413,4640,2265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175265
1939PNEUMONIA,1939,PNEUMONIA,6123,,PNEUMONIA AND INFLUENZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5225,3796,3729,5302,5395,5241,5280,5181,5078,4528,4997,5045,5104,4878,4853,5156,4762,5041,4636,4763,4675,4622,5355,4330,4992,4739,5160,5010,4813,5055,5204,5272,5279,5131,5089,5392,5220,4778,5241,5244,5316,5258,5320,5579,5463,5462,5490,3314,239793
